obsnme,head,date,time
ob_152_79,4736.45982,2012-12-10,00:00:00
ob_152_80,4740.91982,2013-03-26,00:00:00
ob_152_81,4740.439820000001,2013-09-05,00:00:00
ob_153_1,4875.78027,1995-10-06,00:00:00
ob_153_2,4829.180270000002,2000-12-07,00:00:00
ob_154_1,4704.26979,2004-06-14,00:00:00
ob_154_2,4703.94979,2004-06-22,00:00:00
ob_154_3,4703.74979,2004-07-01,00:00:00
ob_154_4,4704.19979,2005-01-05,00:00:00
ob_154_5,4706.6497899999995,2005-03-07,00:00:00
ob_154_6,4706.65979,2005-04-12,00:00:00
ob_154_7,4706.2297899999985,2005-05-04,00:00:00
ob_154_8,4706.30979,2005-06-09,00:00:00
ob_154_9,4704.57979,2005-07-07,00:00:00
ob_154_10,4703.76979,2005-08-03,00:00:00
ob_154_11,4703.6497899999995,2005-09-02,00:00:00
ob_154_12,4703.31979,2005-10-06,00:00:00
ob_154_13,4703.82979,2005-11-08,00:00:00
ob_154_14,4704.4797899999985,2005-12-13,00:00:00
ob_154_15,4705.28979,2005-12-19,00:00:00
ob_154_16,4706.65979,2006-01-17,00:00:00
ob_154_17,4707.03979,2006-03-02,00:00:00
ob_154_18,4705.51979,2006-06-13,00:00:00
ob_154_19,4704.75979,2006-07-06,00:00:00
ob_154_20,4704.03979,2006-08-02,00:00:00
ob_154_21,4703.23979,2006-08-31,00:00:00
ob_154_22,4703.80979,2006-11-01,00:00:00
ob_154_23,4704.63979,2006-12-19,00:00:00
ob_154_24,4705.33979,2007-01-11,00:00:00
ob_154_25,4705.29979,2007-02-07,00:00:00
ob_154_26,4705.36979,2007-03-20,00:00:00
ob_154_27,4708.37979,2007-04-17,00:00:00
ob_154_28,4708.46979,2007-05-08,00:00:00
ob_154_29,4708.38979,2007-06-07,00:00:00
ob_154_30,4706.98979,2007-07-11,00:00:00
ob_154_31,4704.08979,2007-08-08,00:00:00
ob_155_1,4749.54676,1998-04-23,00:00:00
ob_155_2,4749.58676,1998-05-01,00:00:00
ob_160_1,4716.69979,1981-04-01,00:00:00
ob_160_2,4718.57979,1981-06-05,00:00:00
ob_160_3,4718.44979,1981-06-18,00:00:00
ob_160_4,4715.77979,1981-07-21,00:00:00
ob_160_5,4715.1097899999995,1981-08-18,00:00:00
ob_160_6,4713.6097899999995,1981-09-18,00:00:00
ob_160_7,4715.6097899999995,1981-10-21,00:00:00
ob_160_8,4716.44979,1981-11-20,00:00:00
ob_160_9,4716.3597899999995,1981-12-17,00:00:00
ob_160_10,4717.02979,1982-01-24,00:00:00
ob_160_11,4717.44979,1982-02-18,00:00:00
ob_160_12,4716.44979,1982-03-22,00:00:00
ob_160_13,4716.77979,1982-04-20,00:00:00
ob_160_14,4717.4397899999985,1982-05-20,00:00:00
ob_160_15,4719.1097899999995,1982-06-23,00:00:00
ob_160_16,4719.1097899999995,1982-07-20,00:00:00
ob_160_17,4717.94979,1982-08-18,00:00:00
ob_160_18,4718.02979,1982-09-22,00:00:00
ob_160_19,4717.77979,1982-12-22,00:00:00
ob_160_20,4718.1097899999995,1983-01-21,00:00:00
ob_160_21,4716.52979,1983-02-24,00:00:00
ob_160_22,4716.8597899999995,1983-03-30,00:00:00
ob_160_23,4716.6097899999995,1983-05-03,00:00:00
ob_160_24,4718.52979,1983-06-08,00:00:00
ob_160_25,4718.19979,1983-07-08,00:00:00
ob_160_26,4718.6097899999995,1983-08-09,00:00:00
ob_160_27,4717.9397899999985,1983-09-15,00:00:00
ob_160_28,4717.70979,1983-11-01,00:00:00
